file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf100-01.cnf,uf100-430,SAT,SAT,True,0.1557,430,26,50,26,614,1351,728,1297,3391,3391.0,310410.0,5.522801302931596,PASS,False,0.03,SAT,0.021597,SAT,0.009827,SAT
uf100-010.cnf,uf100-430,SAT,SAT,True,0.3126,430,68,96,68,1989,4370,2474,1320,8193,8193.0,998403.0,4.119155354449472,PASS,False,0.03,SAT,0.011054,SAT,0.009871,SAT
uf100-0100.cnf,uf100-430,SAT,SAT,True,0.6905,430,210,275,210,4922,10754,6429,1350,18764,18764.0,2449670.0,3.81227143437627,PASS,False,0.02,SAT,0.005563,SAT,0.005842,SAT
uf100-01000.cnf,uf100-430,SAT,SAT,True,0.5015,430,142,185,142,3537,7862,4651,1340,13958,13958.0,1869230.0,3.946282160022618,PASS,False,0.03,SAT,0.014754,SAT,0.014352,SAT
uf100-0101.cnf,uf100-430,SAT,SAT,True,0.7281,430,223,289,223,5238,11487,6934,1331,20048,20048.0,2669500.0,3.8274150439098893,PASS,False,0.02,SAT,0.019294,SAT,0.0092,SAT
uf100-0102.cnf,uf100-430,SAT,SAT,True,0.4212,430,123,164,123,2933,6406,3761,1312,11586,11586.0,1457460.0,3.9502216160927377,PASS,False,0.03,SAT,0.012972,SAT,0.009204,SAT
uf100-0103.cnf,uf100-430,SAT,SAT,True,0.9198,430,297,354,297,6791,14996,9041,1412,25763,25763.0,3464190.0,3.793697540862907,PASS,False,0.03,SAT,0.006448,SAT,0.007075,SAT
uf100-0104.cnf,uf100-430,SAT,SAT,True,1.1053,430,352,413,352,8314,18337,11058,1403,31200,31200.0,4366560.0,3.752706278566274,PASS,False,0.02,SAT,0.013514,SAT,0.010874,SAT
uf100-0105.cnf,uf100-430,SAT,SAT,True,0.6573,430,203,265,203,4501,9990,6067,1361,17643,17643.0,2446580.0,3.9197956009775607,PASS,False,0.03,SAT,0.009227,SAT,0.008884,SAT
uf100-0106.cnf,uf100-430,SAT,SAT,True,1.6879,430,556,685,556,12981,28264,17124,1503,47660,47660.0,6422830.0,3.6715199137200525,PASS,False,0.02,SAT,0.014198,SAT,0.010753,SAT
uf100-0107.cnf,uf100-430,SAT,SAT,True,1.3011,430,429,505,429,9309,20687,12693,1420,35331,35331.0,4942080.0,3.795359329680954,PASS,False,0.03,SAT,0.01573,SAT,0.012037,SAT
uf100-0108.cnf,uf100-430,SAT,SAT,True,0.2938,430,86,126,86,1910,4168,2429,1338,8001,8001.0,958989.0,4.189005235602094,PASS,False,0.03,SAT,0.021627,SAT,0.008802,SAT
uf100-0109.cnf,uf100-430,SAT,SAT,True,0.4849,430,135,157,135,3173,7094,4208,1354,12756,12756.0,1651590.0,4.020170185943901,PASS,False,0.04,SAT,0.009893,SAT,0.028643,SAT
