file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uuf125-06.cnf,UUF125.538.100,UNSAT,UNSAT,True,6.3278,538,1782,2024,1783,47318,103795,65792,1715,178004,178004.0,27873400.0,3.761866520140327,PASS,True,0.04,UNSAT,0.055677,SAT,0.080221,UNSAT
uuf125-060.cnf,UUF125.538.100,UNSAT,UNSAT,True,5.5608,538,1579,1841,1580,41254,91629,57749,1711,155681,155681.0,25374800.0,3.7737189121054926,PASS,True,0.04,UNSAT,0.03113,SAT,0.062499,UNSAT
uuf125-061.cnf,UUF125.538.100,UNSAT,UNSAT,True,5.7687,538,1606,1872,1607,43252,95134,60105,1733,162631,162631.0,26973200.0,3.7600804587071117,PASS,True,0.05,UNSAT,0.062209,SAT,0.086786,UNSAT
uuf125-062.cnf,UUF125.538.100,UNSAT,UNSAT,True,11.7086,538,3138,3635,3139,83688,181665,118569,1701,318918,318918.0,52920200.0,3.8107972469171205,PASS,True,0.05,UNSAT,0.124643,SAT,0.18025,UNSAT
uuf125-063.cnf,UUF125.538.100,UNSAT,UNSAT,True,2.7528,538,808,949,809,20697,46104,28312,1759,77544,77544.0,12000900.0,3.746629946369039,PASS,True,0.04,UNSAT,0.034288,SAT,0.032853,UNSAT
uuf125-064.cnf,UUF125.538.100,UNSAT,UNSAT,True,2.8572,538,829,970,830,21645,47946,29328,1697,80442,80442.0,12141800.0,3.7164241164241165,PASS,True,0.05,UNSAT,0.043003,SAT,0.049111,UNSAT
uuf125-065.cnf,UUF125.538.100,UNSAT,UNSAT,True,6.7674,538,1946,2192,1947,50207,110717,70175,1724,189148,189148.0,30934100.0,3.767363116696875,PASS,True,0.04,UNSAT,0.06128,SAT,0.093543,UNSAT
uuf125-066.cnf,UUF125.538.100,UNSAT,UNSAT,True,3.8947,538,1116,1262,1117,29368,65104,40648,1687,110458,110458.0,17271600.0,3.7611686189049305,PASS,True,0.05,UNSAT,0.035644,SAT,0.038683,UNSAT
uuf125-067.cnf,UUF125.538.100,UNSAT,UNSAT,True,7.2179,538,2030,2308,2031,53322,117061,74400,1739,200745,200745.0,34067100.0,3.7647687633622144,PASS,True,0.05,UNSAT,0.056483,SAT,0.059077,UNSAT
uuf125-068.cnf,UUF125.538.100,UNSAT,UNSAT,True,4.3174,538,1237,1421,1238,32430,71704,44538,1719,121030,121030.0,19043600.0,3.7320382362010482,PASS,True,0.04,UNSAT,0.028011,SAT,0.067383,UNSAT
