file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,kissat_propagations,kissat_decisions,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uuf150-01.cnf,UUF150.645.100,UNSAT,UNSAT,True,12.4653,645,3003,3552,3004,91001,198489,124894,2032,338753,338753.0,55215600.0,3.7225195327523872,PASS,True,0.06,UNSAT,134101,5353,0.143127,SAT,0.221169,UNSAT
uuf150-010.cnf,UUF150.645.100,UNSAT,UNSAT,True,15.2196,645,3719,4318,3720,108205,236196,153155,2012,412777,412777.0,66472500.0,3.814768263943441,PASS,True,0.07,UNSAT,106225,4626,0.096838,SAT,0.159529,UNSAT
uuf150-0100.cnf,UUF150.645.100,UNSAT,UNSAT,True,17.0632,645,4075,4710,4076,119583,262269,167181,2022,450821,450821.0,73135500.0,3.769942215866804,PASS,True,0.09,UNSAT,247331,11006,0.167776,SAT,0.280417,UNSAT
uuf150-011.cnf,UUF150.645.100,UNSAT,UNSAT,True,14.5423,645,3562,4084,3563,103678,226440,147105,2017,395976,395976.0,63056400.0,3.819286637473717,PASS,True,0.05,UNSAT,134890,5430,0.104393,SAT,0.121424,UNSAT
uuf150-012.cnf,UUF150.645.100,UNSAT,UNSAT,True,16.308,645,3950,4550,3951,114024,248708,161822,2028,435801,435801.0,69470400.0,3.8220111555462006,PASS,True,0.09,UNSAT,216590,8305,0.156336,SAT,0.174613,UNSAT
uuf150-013.cnf,UUF150.645.100,UNSAT,UNSAT,True,8.7247,645,2290,2633,2291,63378,140571,89619,2028,241322,241322.0,39920900.0,3.807661964719619,PASS,True,0.05,UNSAT,92621,3875,0.106811,SAT,0.155028,UNSAT
uuf150-014.cnf,UUF150.645.100,UNSAT,UNSAT,True,27.4604,645,6024,6895,6025,177167,384580,253147,1960,679863,679863.0,111896000.0,3.83741328802768,PASS,True,0.08,UNSAT,220044,8795,0.211177,SAT,0.257787,UNSAT
uuf150-015.cnf,UUF150.645.100,UNSAT,UNSAT,True,22.4815,645,5209,5999,5210,148881,325916,213459,1977,572426,572426.0,93982300.0,3.844855958785876,PASS,True,0.09,UNSAT,228781,9791,0.241479,SAT,0.370334,UNSAT
uuf150-016.cnf,UUF150.645.100,UNSAT,UNSAT,True,8.6794,645,2250,2648,2251,64325,141363,89495,2006,242199,242199.0,40220200.0,3.765239020598523,PASS,True,0.05,UNSAT,118412,4968,0.087204,SAT,0.120143,UNSAT
uuf150-017.cnf,UUF150.645.100,UNSAT,UNSAT,True,17.773,645,4287,4938,4288,121091,265372,174046,1980,466235,466235.0,75443400.0,3.8502861484338227,PASS,True,0.08,UNSAT,213452,7911,0.139253,SAT,0.159762,UNSAT
uuf150-018.cnf,UUF150.645.100,UNSAT,UNSAT,True,25.7426,645,5878,6677,5879,168231,365163,244081,2017,653356,653356.0,107180000.0,3.8836837443752934,PASS,True,0.11,UNSAT,269681,10689,0.192759,SAT,0.367585,UNSAT
uuf150-019.cnf,UUF150.645.100,UNSAT,UNSAT,True,6.3814,645,1659,1895,1660,46812,103777,64498,2008,174940,174940.0,27615300.0,3.7370759634281807,PASS,True,0.04,UNSAT,89876,3845,0.054256,SAT,0.097441,UNSAT
uuf150-02.cnf,UUF150.645.100,UNSAT,UNSAT,True,15.6561,645,3851,4338,3852,109018,240517,155022,1991,415676,415676.0,68708200.0,3.8129116292722305,PASS,True,0.1,UNSAT,224517,8858,0.204397,SAT,0.173771,UNSAT
