file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uuf175-01.cnf,UUF175.753.100,UNSAT,UNSAT,True,29.817,753,5989,6858,5990,196183,427091,276572,2308,746719,746719.0,124868000.0,3.8062370337898797,PASS,True,,,0.234867,SAT,0.399347,UNSAT
uuf175-010.cnf,UUF175.753.100,UNSAT,UNSAT,True,80.2711,753,11963,13712,11964,372442,799108,549464,2308,1467313,1467310.0,254323000.0,3.9397087331718765,PASS,True,,,0.35048,SAT,0.543576,UNSAT
uuf175-0100.cnf,UUF175.753.100,UNSAT,UNSAT,True,25.679,753,5389,6140,5390,171746,375963,243298,2295,655582,655582.0,106382000.0,3.8171602249834056,PASS,True,,,0.258145,SAT,0.287623,UNSAT
uuf175-011.cnf,UUF175.753.100,UNSAT,UNSAT,True,18.8219,753,3998,4536,3999,134139,293731,183094,2303,497804,497804.0,82138900.0,3.711105644145252,PASS,True,,,0.212842,SAT,0.15797,UNSAT
uuf175-012.cnf,UUF175.753.100,UNSAT,UNSAT,True,22.7866,753,4846,5697,4847,155054,336122,218603,2309,589636,589636.0,95688600.0,3.8027783868845693,PASS,True,,,0.240379,SAT,0.398131,UNSAT
uuf175-013.cnf,UUF175.753.100,UNSAT,UNSAT,True,70.7598,753,11484,13005,11485,353002,762940,520953,2294,1390421,1390420.0,241427000.0,3.938847371969564,PASS,True,,,0.292116,SAT,0.549887,UNSAT
uuf175-014.cnf,UUF175.753.100,UNSAT,,,120.02,,,,,,,,,,,,,TIMEOUT,True,,,0.744306,SAT,0.84089,UNSAT
uuf175-015.cnf,UUF175.753.100,UNSAT,UNSAT,True,33.2207,753,6700,7787,6701,205014,449365,299806,2289,801744,801744.0,129744000.0,3.9106792706839535,PASS,True,,,0.205393,SAT,0.306117,UNSAT
uuf175-016.cnf,UUF175.753.100,UNSAT,UNSAT,True,38.8756,753,7423,8405,7424,243082,528977,342738,2310,923483,923483.0,155313000.0,3.7990595766037796,PASS,True,,,0.522321,SAT,0.535035,UNSAT
uuf175-017.cnf,UUF175.753.100,UNSAT,UNSAT,True,22.9823,753,4859,5677,4860,155305,339360,218001,2325,587968,587968.0,96748400.0,3.785892276488201,PASS,True,,,0.267676,SAT,0.21667,UNSAT
uuf175-018.cnf,UUF175.753.100,UNSAT,UNSAT,True,39.5051,753,7538,8723,7539,248964,538755,351081,2297,947071,947071.0,156519000.0,3.804047974807603,PASS,True,,,0.506634,SAT,0.826838,UNSAT
uuf175-019.cnf,UUF175.753.100,UNSAT,UNSAT,True,42.96,753,7714,8919,7715,255989,556591,362631,2307,977248,977248.0,159045000.0,3.817539034880405,PASS,True,,,0.507061,SAT,0.611797,UNSAT
uuf175-02.cnf,UUF175.753.100,UNSAT,,,120.02,,,,,,,,,,,,,TIMEOUT,True,,,0.706884,SAT,0.86764,UNSAT
uuf175-020.cnf,UUF175.753.100,UNSAT,UNSAT,True,63.169,753,10155,11708,10156,325442,704666,474640,2298,1271672,1271670.0,219052000.0,3.90752269221551,PASS,True,,,0.480686,SAT,0.708001,UNSAT
