file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,kissat_propagations,kissat_decisions,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf200-082.cnf,uf200-860,SAT,SAT,True,43.3009,860,7463,8791,7463,264250,572281,369068,2606,998024,998024.0,169216000.0,3.776817407757805,PASS,True,0.07,SAT,105898,3750,0.050022,SAT,1.42537,SAT
uf200-083.cnf,uf200-860,SAT,SAT,True,44.3735,860,7402,8723,7402,268779,580103,372241,2601,1009711,1009710.0,174501000.0,3.75665881635098,PASS,True,0.05,SAT,111057,3908,0.280114,SAT,3.62467,SAT
uf200-084.cnf,uf200-860,SAT,SAT,True,22.2795,860,4360,5266,4360,152576,331234,212328,2609,575411,575411.0,93215500.0,3.7713074140100673,PASS,True,0.05,SAT,90050,3669,0.435386,SAT,1.98002,SAT
uf200-085.cnf,uf200-860,SAT,SAT,True,8.0334,860,1653,1927,1653,59263,129100,79090,2583,217691,217691.0,37364900.0,3.6733037477009263,PASS,True,0.05,SAT,105351,3576,0.269942,SAT,0.061637,SAT
uf200-086.cnf,uf200-860,SAT,SAT,True,10.0475,860,2021,2408,2021,75217,164404,99814,2597,274422,274422.0,45442300.0,3.648403951234428,PASS,True,0.05,SAT,107050,3929,0.272313,SAT,0.038181,SAT
uf200-087.cnf,uf200-860,SAT,SAT,True,48.6522,860,7891,9123,7891,287014,620043,401328,2597,1086670,1086670.0,185711000.0,3.78612193133436,PASS,True,0.13,SAT,378733,13612,1.8338,SAT,2.71098,SAT
uf200-088.cnf,uf200-860,SAT,SAT,True,50.2631,860,7971,9263,7971,288875,621604,404983,2617,1096879,1096880.0,182490000.0,3.7970713976633492,PASS,True,0.23,SAT,646612,21546,1.58803,SAT,0.726806,SAT
uf200-089.cnf,uf200-860,SAT,,,180.0044,,,,,,,,,,,,,TIMEOUT,True,0.04,SAT,22517,718,0.734834,SAT,3.12989,SAT
uf200-09.cnf,uf200-860,SAT,SAT,True,52.0488,860,7985,9366,7985,285655,620713,404398,2601,1090507,1090510.0,218246000.0,3.8175666450788537,PASS,True,0.39,SAT,1056273,39109,0.879502,SAT,0.177994,SAT
uf200-090.cnf,uf200-860,SAT,SAT,True,29.2849,860,5290,6261,5290,182816,398545,255927,2619,690975,690975.0,132627000.0,3.779619945737791,PASS,True,0.05,SAT,86893,3231,0.29225,SAT,1.73541,SAT
uf200-091.cnf,uf200-860,SAT,SAT,True,165.8553,860,15816,18309,15816,545130,1176814,788115,2612,2114641,2114640.0,480252000.0,3.8791499275402197,PASS,True,0.24,SAT,682946,25322,0.137305,SAT,0.599293,SAT
uf200-092.cnf,uf200-860,SAT,SAT,True,131.7486,860,14382,16680,14382,506659,1084854,731282,2607,1966988,1966990.0,408068000.0,3.882271902798529,PASS,True,0.18,SAT,498499,19099,0.641118,SAT,1.78248,SAT
uf200-093.cnf,uf200-860,SAT,SAT,True,20.6786,860,3890,4516,3890,135601,295290,189655,2612,514419,514419.0,94157000.0,3.7936224659110183,PASS,True,0.05,SAT,104259,3517,0.083844,SAT,0.072875,SAT
uf200-094.cnf,uf200-860,SAT,SAT,True,45.2602,860,7105,8150,7105,264090,571310,361663,2616,984117,984117.0,193760000.0,3.7264455299329775,PASS,True,0.06,SAT,100648,4381,0.305963,SAT,0.390782,SAT
uf200-095.cnf,uf200-860,SAT,SAT,True,2.7,860,541,660,541,20722,45369,26730,2612,75930,75930.0,11446700.0,3.6642216002316377,PASS,True,0.06,SAT,108521,3815,1.31835,SAT,3.99341,SAT
uf200-096.cnf,uf200-860,SAT,SAT,True,14.9296,860,2843,3397,2843,100307,219677,137212,2610,373173,373173.0,70849500.0,3.7203086524370184,PASS,True,0.05,SAT,106836,3650,0.297158,SAT,0.387783,SAT
uf200-097.cnf,uf200-860,SAT,SAT,True,36.0587,860,6196,7215,6196,219058,473967,303098,2611,821639,821639.0,159358000.0,3.7507828976800663,PASS,True,0.05,SAT,100427,3512,0.099933,SAT,1.01611,SAT
uf200-098.cnf,uf200-860,SAT,SAT,True,141.5627,860,15387,17754,15387,537552,1151374,777481,2623,2087997,2088000.0,457707000.0,3.884269800875078,PASS,True,0.06,SAT,127606,4433,0.07957,SAT,0.089074,SAT
uf200-099.cnf,uf200-860,SAT,,,180.0045,,,,,,,,,,,,,TIMEOUT,True,0.08,SAT,198765,7336,1.54727,SAT,2.31603,SAT
