file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uuf75-01.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4804,325,172,195,173,3163,7074,4346,1127,12653,12653.0,1648780.0,4.00031615554853,PASS,False,0.04,UNSAT,0.010913,SAT,0.010274,UNSAT
uuf75-010.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.6256,325,230,255,231,4254,9521,5881,1138,16710,16710.0,2224960.0,3.928067700987306,PASS,False,0.03,UNSAT,0.011137,SAT,0.008962,UNSAT
uuf75-0100.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.3827,325,138,158,139,2522,5658,3467,1087,10267,10267.0,1370540.0,4.070975416336241,PASS,False,0.04,UNSAT,0.011269,SAT,0.010393,UNSAT
uuf75-011.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4135,325,154,184,155,2867,6386,3859,1134,11445,11445.0,1505590.0,3.9919776770143005,PASS,False,0.03,UNSAT,0.011976,SAT,0.008948,UNSAT
uuf75-012.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.8066,325,303,347,304,5824,12914,8003,1172,22422,22422.0,3131460.0,3.849931318681319,PASS,False,0.03,UNSAT,0.013531,SAT,0.014417,UNSAT
uuf75-013.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4679,325,176,195,177,2967,6603,4078,1140,11926,11926.0,1657770.0,4.0195483653522075,PASS,False,0.03,UNSAT,0.012439,SAT,0.009553,UNSAT
uuf75-014.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.6328,325,219,242,220,4334,9624,5852,1137,16739,16739.0,2251190.0,3.862251961236733,PASS,False,0.04,UNSAT,0.014605,SAT,0.013658,UNSAT
uuf75-015.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4394,325,158,200,159,2983,6740,4135,1148,12094,12094.0,1576510.0,4.054307743881998,PASS,False,0.04,UNSAT,0.012657,SAT,0.010328,UNSAT
uuf75-016.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.5072,325,192,218,193,3568,7979,4959,1128,14234,14234.0,1892270.0,3.9893497757847536,PASS,False,0.03,UNSAT,0.014224,SAT,0.013339,UNSAT
uuf75-017.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.412,325,158,179,159,2793,6290,3876,1085,11317,11317.0,1485550.0,4.051915503043323,PASS,False,0.02,UNSAT,0.004593,SAT,0.011836,UNSAT
uuf75-018.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4632,325,168,190,169,3015,6875,4284,1082,12355,12355.0,1571070.0,4.097844112769486,PASS,False,0.03,UNSAT,0.010203,SAT,0.009068,UNSAT
uuf75-019.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4136,325,162,181,163,2783,6148,3793,1092,11161,11161.0,1562180.0,4.010420409629896,PASS,False,0.02,UNSAT,0.010159,SAT,0.00619,UNSAT
uuf75-02.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.3703,325,128,144,129,2469,5493,3309,1103,9959,9959.0,1256830.0,4.033616848926691,PASS,False,0.02,UNSAT,0.003564,SAT,0.011385,UNSAT
uuf75-020.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.6226,325,213,255,214,4276,9298,5603,1077,16134,16134.0,2231070.0,3.7731524789522917,PASS,False,0.03,UNSAT,0.016906,SAT,0.011092,UNSAT
uuf75-021.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.3836,325,160,175,161,2525,5668,3558,1125,10474,10474.0,1339000.0,4.148118811881188,PASS,False,0.03,UNSAT,0.008923,SAT,0.007606,UNSAT
uuf75-022.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4938,325,175,204,176,3293,7316,4499,1108,13070,13070.0,1758100.0,3.969025204980261,PASS,False,0.03,UNSAT,0.008897,SAT,0.007359,UNSAT
uuf75-023.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.5982,325,226,258,227,4295,9551,5874,1102,16708,16708.0,2234750.0,3.890104772991851,PASS,False,0.03,UNSAT,0.015126,SAT,0.010924,UNSAT
uuf75-024.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.5815,325,219,259,220,3902,8749,5427,1143,15504,15504.0,2121060.0,3.973347001537673,PASS,False,0.03,UNSAT,0.008791,SAT,0.007495,UNSAT
uuf75-025.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4286,325,175,202,176,2955,6622,4111,1128,11965,11965.0,1556860.0,4.04906937394247,PASS,False,0.01,UNSAT,0.010705,SAT,0.011124,UNSAT
uuf75-026.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.3189,325,121,141,122,2114,4693,2855,1123,8735,8735.0,1069960.0,4.13197729422895,PASS,False,0.03,UNSAT,0.009186,SAT,0.010781,UNSAT
uuf75-027.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.3939,325,155,171,156,2611,5915,3666,1153,10826,10826.0,1407360.0,4.146304098046725,PASS,False,0.03,UNSAT,0.012379,SAT,0.010967,UNSAT
uuf75-028.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4309,325,155,182,156,2857,6361,3891,1139,11476,11476.0,1540700.0,4.016800840042002,PASS,False,0.03,UNSAT,0.009809,SAT,0.009155,UNSAT
uuf75-029.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.8294,325,321,373,322,5982,13389,8293,1209,23152,23152.0,3188520.0,3.870277499164159,PASS,False,0.02,UNSAT,0.014047,SAT,0.012234,UNSAT
uuf75-03.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.5473,325,209,240,210,3856,8677,5333,1146,15273,15273.0,2028950.0,3.9608402489626555,PASS,False,0.04,UNSAT,0.01644,SAT,0.007813,UNSAT
uuf75-030.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.5457,325,211,231,212,3629,8304,5198,1125,14746,14746.0,1986060.0,4.06337834114081,PASS,False,0.02,UNSAT,0.011851,SAT,0.011277,UNSAT
uuf75-031.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.3981,325,155,177,156,2569,5773,3597,1129,10599,10599.0,1400160.0,4.125729855975088,PASS,False,0.03,UNSAT,0.007199,SAT,0.00765,UNSAT
uuf75-032.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4366,325,158,175,159,2815,6255,3839,1106,11312,11312.0,1496570.0,4.018472468916519,PASS,False,0.03,UNSAT,0.010033,SAT,0.011492,UNSAT
uuf75-033.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.3529,325,124,152,125,2331,5151,3150,1095,9491,9491.0,1226900.0,4.071643071643072,PASS,False,0.01,UNSAT,0.012344,SAT,0.00925,UNSAT
uuf75-034.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4611,325,164,183,165,3089,6911,4240,1122,12365,12365.0,1687060.0,4.002913564260278,PASS,False,0.03,UNSAT,0.01322,SAT,0.012395,UNSAT
uuf75-035.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4944,325,182,206,183,3375,7598,4747,1099,13608,13608.0,1761920.0,4.032,PASS,False,0.04,UNSAT,0.016447,SAT,0.012785,UNSAT
uuf75-036.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.5285,325,220,260,221,3669,8280,5194,1161,14812,14812.0,1978250.0,4.037067320795857,PASS,False,0.03,UNSAT,0.009352,SAT,0.00823,UNSAT
uuf75-037.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.644,325,255,293,256,4506,10167,6372,1124,17894,17894.0,2369960.0,3.971149578339991,PASS,False,0.03,UNSAT,0.011379,SAT,0.010398,UNSAT
uuf75-038.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.9093,325,336,377,337,6549,14556,8978,1172,25043,25043.0,3519450.0,3.823942586654451,PASS,False,0.04,UNSAT,0.016973,SAT,0.013296,UNSAT
uuf75-039.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4939,325,172,197,173,3275,7278,4426,1168,12968,12968.0,1701270.0,3.9596946564885496,PASS,False,0.03,UNSAT,0.012077,SAT,0.011126,UNSAT
uuf75-04.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.4722,325,177,203,178,3106,7022,4392,1092,12651,12651.0,1675810.0,4.073084352865422,PASS,False,0.02,UNSAT,0.012302,SAT,0.011687,UNSAT
uuf75-040.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.5254,325,215,247,216,3652,8183,5105,1125,14589,14589.0,1953120.0,3.9947973713033953,PASS,False,0.03,UNSAT,0.011167,SAT,0.013575,UNSAT
uuf75-041.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.9796,325,367,409,368,6817,15180,9547,1214,26422,26422.0,3639120.0,3.875898489071439,PASS,False,0.03,UNSAT,0.013822,SAT,0.011488,UNSAT
uuf75-042.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.5105,325,199,250,200,3580,7815,4812,1133,13928,13928.0,1838870.0,3.8905027932960894,PASS,False,0.03,UNSAT,0.013743,SAT,0.012452,UNSAT
uuf75-043.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.6898,325,270,308,271,4766,10574,6611,1146,18608,18608.0,2514660.0,3.9043222828367603,PASS,False,0.03,UNSAT,0.012997,SAT,0.011587,UNSAT
uuf75-044.cnf,UUF75.325.100,UNSAT,UNSAT,True,0.6313,325,220,250,221,3870,8727,5457,1128,15458,15458.0,2334840.0,3.994315245478036,PASS,False,0.03,UNSAT,0.011757,SAT,0.00593,UNSAT
