file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf50-01.cnf,uf50-218,SAT,SAT,True,0.1713,218,55,74,55,819,1791,1075,721,3616,3616.0,438157.0,4.415140415140415,PASS,False,0.01,SAT,0.004525,SAT,0.003109,SAT
uf50-010.cnf,uf50-218,SAT,SAT,True,0.0739,218,14,24,14,249,538,279,663,1482,1482.0,118992.0,5.951807228915663,PASS,False,0.01,SAT,0.004173,SAT,0.003646,SAT
uf50-0100.cnf,uf50-218,SAT,SAT,True,0.1059,218,24,32,24,345,763,432,676,1879,1879.0,215639.0,5.446376811594203,PASS,False,0.004603415494784713,SAT,0.002619,SAT,0.004844,SAT
uf50-01000.cnf,uf50-218,SAT,SAT,True,0.0969,218,18,26,18,296,622,332,673,1639,1639.0,199532.0,5.537162162162162,PASS,False,0.01,SAT,0.005877,SAT,0.004219,SAT
uf50-0101.cnf,uf50-218,SAT,SAT,True,0.1188,218,33,56,33,532,1175,688,693,2563,2563.0,296009.0,4.817669172932331,PASS,False,0.01,SAT,0.004072,SAT,0.004265,SAT
uf50-0102.cnf,uf50-218,SAT,SAT,True,0.0943,218,18,24,18,255,543,282,679,1506,1506.0,139585.0,5.905882352941177,PASS,False,0.01,SAT,0.006175,SAT,0.003322,SAT
uf50-0103.cnf,uf50-218,SAT,SAT,True,0.0765,218,13,21,13,222,470,234,675,1381,1381.0,117769.0,6.2207207207207205,PASS,False,0.01,SAT,0.004933,SAT,0.001702,SAT
uf50-0104.cnf,uf50-218,SAT,SAT,True,0.1305,218,47,56,47,647,1426,839,724,2996,2996.0,340992.0,4.630602782071097,PASS,False,0.006249415455386043,SAT,0.00483,SAT,0.005724,SAT
uf50-0105.cnf,uf50-218,SAT,SAT,True,0.0747,218,14,24,14,244,510,256,658,1426,1426.0,111983.0,5.844262295081967,PASS,False,0.01,SAT,0.004726,SAT,0.004675,SAT
uf50-0106.cnf,uf50-218,SAT,SAT,True,0.1517,218,44,58,44,568,1262,757,704,2735,2735.0,399261.0,4.815140845070423,PASS,False,0.01,SAT,0.004015,SAT,0.004181,SAT
uf50-0107.cnf,uf50-218,SAT,SAT,True,0.0941,218,20,33,20,300,631,336,683,1652,1652.0,172920.0,5.506666666666667,PASS,False,0.005069910897873342,SAT,0.003265,SAT,0.003021,SAT
uf50-0108.cnf,uf50-218,SAT,SAT,True,0.1032,218,21,37,21,333,705,383,692,1783,1783.0,222567.0,5.354354354354355,PASS,False,0.01,SAT,0.002396,SAT,0.004631,SAT
uf50-0109.cnf,uf50-218,SAT,SAT,True,0.0495,218,0,13,0,50,87,0,654,741,741.0,17347.0,14.82,PASS,False,0.001555395545437932,SAT,0.0033,SAT,0.00341,SAT
uf50-011.cnf,uf50-218,SAT,SAT,True,0.0929,218,25,34,25,391,863,493,685,2053,2053.0,204721.0,5.250639386189258,PASS,False,0.003555440460331738,SAT,0.004383,SAT,0.002676,SAT
uf50-0110.cnf,uf50-218,SAT,SAT,True,0.08,218,7,18,7,152,323,146,658,1127,1127.0,114620.0,7.4144736842105265,PASS,False,0.01,SAT,0.004441,SAT,0.004568,SAT
uf50-0111.cnf,uf50-218,SAT,SAT,True,0.1258,218,53,65,53,681,1526,933,703,3184,3184.0,345050.0,4.675477239353891,PASS,False,0.01,SAT,0.004966,SAT,0.004526,SAT
uf50-0112.cnf,uf50-218,SAT,SAT,True,0.1122,218,25,38,25,386,831,461,704,1999,1999.0,227977.0,5.178756476683938,PASS,False,0.005257905460894108,SAT,0.003873,SAT,0.002994,SAT
uf50-0113.cnf,uf50-218,SAT,SAT,True,0.1215,218,24,37,24,379,819,451,701,1971,1971.0,250284.0,5.200527704485488,PASS,False,0.0014859200455248356,SAT,0.003416,SAT,0.002642,SAT
uf50-0114.cnf,uf50-218,SAT,SAT,True,0.052,218,0,15,0,50,85,0,654,739,739.0,17024.0,14.78,PASS,False,0.001428929972462356,SAT,0.003236,SAT,0.002533,SAT
uf50-0115.cnf,uf50-218,SAT,SAT,True,0.0876,218,10,15,10,194,445,227,677,1350,1350.0,144488.0,6.958762886597938,PASS,False,0.0015390400076285005,SAT,0.003464,SAT,0.003376,SAT
uf50-0116.cnf,uf50-218,SAT,SAT,True,0.1012,218,26,44,26,412,847,458,701,2009,2009.0,207354.0,4.87621359223301,PASS,False,0.005551725975237787,SAT,0.003519,SAT,0.0,SAT
uf50-0117.cnf,uf50-218,SAT,SAT,True,0.0646,218,3,23,3,93,169,52,658,879,879.0,93618.0,9.451612903225806,PASS,False,0.01,SAT,0.004009,SAT,0.004248,SAT
uf50-0118.cnf,uf50-218,SAT,SAT,True,0.1013,218,18,29,18,294,647,357,681,1692,1692.0,172026.0,5.755102040816326,PASS,False,0.0014069599565118551,SAT,0.004372,SAT,0.002151,SAT
uf50-0119.cnf,uf50-218,SAT,SAT,True,0.0786,218,23,36,23,389,851,473,673,1999,1999.0,190072.0,5.138817480719794,PASS,False,0.01,SAT,0.003623,SAT,0.00329,SAT
uf50-012.cnf,uf50-218,SAT,SAT,True,0.1428,218,39,52,39,571,1280,766,675,2737,2737.0,305540.0,4.793345008756567,PASS,False,0.004980705911293626,SAT,0.005386,SAT,0.003729,SAT
uf50-0120.cnf,uf50-218,SAT,SAT,True,0.0756,218,15,28,15,264,566,296,691,1554,1554.0,125436.0,5.886363636363637,PASS,False,0.01,SAT,0.003593,SAT,0.002772,SAT
uf50-0121.cnf,uf50-218,SAT,SAT,True,0.1615,218,37,49,37,609,1289,730,686,2722,2722.0,379641.0,4.469622331691297,PASS,False,0.01,SAT,0.00294,SAT,0.004073,SAT
uf50-0122.cnf,uf50-218,SAT,SAT,True,0.1358,218,40,60,40,616,1312,762,697,2788,2788.0,340976.0,4.525974025974026,PASS,False,0.01,SAT,0.003452,SAT,0.00344,SAT
uf50-0123.cnf,uf50-218,SAT,SAT,True,0.1658,218,52,78,52,703,1525,911,752,3200,3200.0,421699.0,4.551920341394026,PASS,False,0.01,SAT,0.007306,SAT,0.004594,SAT
uf50-0124.cnf,uf50-218,SAT,SAT,True,0.1428,218,58,72,58,809,1790,1080,694,3586,3586.0,406364.0,4.432632880098888,PASS,False,0.01,SAT,0.003751,SAT,0.004979,SAT
