file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf75-01.cnf,UF75.325.100,SAT,SAT,True,0.3495,325,114,138,114,2159,4721,2819,1037,8658,8658.0,1184090.0,4.010189902732747,PASS,False,,,0.004538,SAT,0.002625,SAT
uf75-010.cnf,UF75.325.100,SAT,SAT,True,0.546,325,211,248,211,3983,8647,5199,1095,15124,15124.0,2013580.0,3.7971378358021592,PASS,False,,,0.011025,SAT,0.012152,SAT
uf75-0100.cnf,UF75.325.100,SAT,SAT,True,0.2593,325,84,105,84,1497,3324,1966,1026,6344,6344.0,773190.0,4.237808951235805,PASS,False,,,0.011967,SAT,0.008106,SAT
uf75-011.cnf,UF75.325.100,SAT,SAT,True,0.2091,325,48,69,48,1101,2426,1378,994,4814,4814.0,548177.0,4.372388737511353,PASS,False,,,0.008303,SAT,0.005846,SAT
uf75-012.cnf,UF75.325.100,SAT,SAT,True,0.3045,325,109,125,109,1904,4199,2505,1043,7803,7803.0,962169.0,4.098214285714286,PASS,False,,,0.010811,SAT,0.007308,SAT
uf75-013.cnf,UF75.325.100,SAT,SAT,True,0.187,325,53,68,53,994,2169,1249,1024,4470,4470.0,499322.0,4.496981891348089,PASS,False,,,0.007633,SAT,0.007602,SAT
uf75-014.cnf,UF75.325.100,SAT,SAT,True,0.3336,325,110,131,110,1882,4237,2605,1028,7962,7962.0,1127590.0,4.230605738575983,PASS,False,,,0.004565,SAT,0.003157,SAT
uf75-015.cnf,UF75.325.100,SAT,SAT,True,0.1634,325,42,54,42,768,1624,891,993,3525,3525.0,366515.0,4.58984375,PASS,False,,,0.010956,SAT,0.009284,SAT
uf75-016.cnf,UF75.325.100,SAT,SAT,True,0.2306,325,65,98,65,1232,2712,1604,1011,5365,5365.0,636917.0,4.354707792207792,PASS,False,,,0.007421,SAT,0.005793,SAT
uf75-017.cnf,UF75.325.100,SAT,SAT,True,0.3867,325,144,183,144,2514,5587,3448,1031,10193,10193.0,1330250.0,4.054494828957836,PASS,False,,,0.004144,SAT,0.00308,SAT
uf75-018.cnf,UF75.325.100,SAT,SAT,True,0.3295,325,107,142,107,2067,4518,2674,1043,8287,8287.0,1098520.0,4.0091920657958395,PASS,False,,,0.006325,SAT,0.005412,SAT
uf75-019.cnf,UF75.325.100,SAT,SAT,True,0.075,325,4,20,4,150,292,93,979,1366,1366.0,62519.0,9.106666666666667,PASS,False,,,0.011303,SAT,0.008666,SAT
uf75-02.cnf,UF75.325.100,SAT,SAT,True,0.2917,325,99,138,99,1735,3790,2308,1026,7223,7223.0,879503.0,4.163112391930836,PASS,False,,,0.00487,SAT,0.006629,SAT
uf75-020.cnf,UF75.325.100,SAT,SAT,True,0.3282,325,110,137,110,2145,4781,2859,1021,8719,8719.0,1085840.0,4.064801864801865,PASS,False,,,0.009888,SAT,0.008692,SAT
uf75-021.cnf,UF75.325.100,SAT,SAT,True,0.1956,325,55,92,55,1105,2389,1374,1039,4821,4821.0,561246.0,4.3628959276018096,PASS,False,,,0.009006,SAT,0.00663,SAT
uf75-022.cnf,UF75.325.100,SAT,SAT,True,0.4109,325,133,169,133,2752,5977,3548,1036,10668,10668.0,1383920.0,3.876453488372093,PASS,False,,,0.008121,SAT,0.006582,SAT
uf75-023.cnf,UF75.325.100,SAT,SAT,True,0.5153,325,201,252,201,3612,7952,4865,1075,14050,14050.0,1871630.0,3.889811738648948,PASS,False,,,0.004021,SAT,0.005011,SAT
uf75-024.cnf,UF75.325.100,SAT,SAT,True,0.3207,325,102,126,102,1917,4259,2560,1019,7908,7908.0,987275.0,4.125195618153365,PASS,False,,,0.011114,SAT,0.008788,SAT
uf75-025.cnf,UF75.325.100,SAT,SAT,True,0.346,325,101,131,101,1959,4274,2560,1015,7955,7955.0,1115700.0,4.060745278203165,PASS,False,,,0.004992,SAT,0.004409,SAT
uf75-026.cnf,UF75.325.100,SAT,SAT,True,0.4412,325,147,172,147,2870,6373,3836,1051,11355,11355.0,1471920.0,3.956445993031359,PASS,False,,,0.005168,SAT,0.005379,SAT
uf75-027.cnf,UF75.325.100,SAT,SAT,True,0.2111,325,50,64,50,1120,2403,1359,1005,4809,4809.0,550838.0,4.29375,PASS,False,,,0.005838,SAT,0.006014,SAT
