file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf125-059.cnf,UF125.538.100,SAT,SAT,True,0.267,538,40,76,40,1234,2699,1476,1622,5817,5817.0,615090.0,4.713938411669368,PASS,False,0.03,SAT,0.022108,SAT,0.030966,SAT
uf125-06.cnf,UF125.538.100,SAT,SAT,True,3.0508,538,815,913,815,22270,49695,30082,1687,82641,82641.0,12581600.0,3.710866636731028,PASS,True,0.04,SAT,0.050223,SAT,0.016376,SAT
uf125-060.cnf,UF125.538.100,SAT,SAT,True,5.1098,538,1457,1737,1457,37063,81868,51425,1704,139110,139110.0,22180100.0,3.7533389094244933,PASS,True,0.04,SAT,0.030378,SAT,0.028519,SAT
uf125-061.cnf,UF125.538.100,SAT,SAT,True,1.6666,538,431,508,431,12138,26798,16054,1691,45165,45165.0,6117240.0,3.720958971824024,PASS,False,0.03,SAT,0.01442,SAT,0.018574,SAT
uf125-062.cnf,UF125.538.100,SAT,SAT,True,0.4939,538,121,172,121,3221,7078,4091,1658,12899,12899.0,1623010.0,4.0046569388388695,PASS,False,0.03,SAT,0.033034,SAT,0.031783,SAT
uf125-063.cnf,UF125.538.100,SAT,SAT,True,2.4836,538,717,834,717,18409,40764,25127,1690,69066,69066.0,10200100.0,3.7517518605030147,PASS,True,0.03,SAT,0.042995,SAT,0.027071,SAT
uf125-064.cnf,UF125.538.100,SAT,SAT,True,2.4109,538,699,844,699,18232,40641,24742,1719,68147,68147.0,9879440.0,3.7377687582272925,PASS,True,0.04,SAT,0.02843,SAT,0.015982,SAT
uf125-065.cnf,UF125.538.100,SAT,SAT,True,0.8075,538,217,261,217,5834,12767,7482,1687,22142,22142.0,2861610.0,3.7953376756942063,PASS,False,0.03,SAT,0.015838,SAT,0.029552,SAT
uf125-066.cnf,UF125.538.100,SAT,SAT,True,2.9594,538,835,1004,835,22465,49427,30147,1706,82954,82954.0,12451400.0,3.6925884709548185,PASS,True,0.02,SAT,0.038961,SAT,0.014231,SAT
uf125-067.cnf,UF125.538.100,SAT,SAT,True,1.4925,538,405,515,405,11286,25000,14974,1705,42203,42203.0,5776300.0,3.739411660464292,PASS,False,0.03,SAT,0.01411,SAT,0.0394,SAT
uf125-068.cnf,UF125.538.100,SAT,SAT,True,0.2019,538,31,60,31,939,2035,1081,1614,4749,4749.0,466269.0,5.057507987220447,PASS,False,0.03,SAT,0.00685,SAT,0.007975,SAT
uf125-069.cnf,UF125.538.100,SAT,SAT,True,0.4888,538,123,172,123,3301,7300,4279,1659,13353,13353.0,1684120.0,4.045137837019085,PASS,False,0.03,SAT,0.02536,SAT,0.019072,SAT
uf125-07.cnf,UF125.538.100,SAT,SAT,True,0.6338,538,166,233,166,4444,9624,5582,1674,17015,17015.0,2357720.0,3.828757875787579,PASS,False,0.04,SAT,0.032306,SAT,0.013125,SAT
uf125-070.cnf,UF125.538.100,SAT,SAT,True,1.3108,538,345,420,345,9744,21566,12858,1693,36542,36542.0,4924150.0,3.7502052545155995,PASS,False,0.03,SAT,0.011485,SAT,0.012204,SAT
uf125-071.cnf,UF125.538.100,SAT,SAT,True,4.39,538,1235,1446,1235,33363,73142,45168,1675,123262,123262.0,18937300.0,3.6945718310703475,PASS,True,0.04,SAT,0.031803,SAT,0.019798,SAT
uf125-072.cnf,UF125.538.100,SAT,SAT,True,4.0153,538,1097,1283,1097,30390,67310,41297,1690,112762,112762.0,17737900.0,3.7104968739717012,PASS,True,0.03,SAT,0.045992,SAT,0.031093,SAT
uf125-073.cnf,UF125.538.100,SAT,SAT,True,3.3591,538,941,1103,941,25592,56268,34419,1706,94427,94427.0,14312700.0,3.6897077211628635,PASS,True,0.04,SAT,0.055503,SAT,0.035873,SAT
uf125-074.cnf,UF125.538.100,SAT,SAT,True,1.0816,538,290,346,290,7979,17724,10648,1663,30446,30446.0,4138760.0,3.815766386765259,PASS,False,0.03,SAT,0.014791,SAT,0.021891,SAT
